long	lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	srtm	ndvi	ndvistd	qscat	tree
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-95.549994	49.854417	2.07500004768372	11.6833333969116	23.3666667938232	1359.65991210938	25.2999992370605	-24.7000007629395	50	15.4499998092651	-13.1833333969116	17.783332824707	-15.8666667938232	627	101	15	56.6112327575684	274	62	266	66	320	7400	1362	-1143	39
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
-67.325582	45.594306	5.34166669845581	12.2333335876465	29.1965007781982	1049.35876464844	26	-15.8999996185303	41.9000015258789	-4.93333339691162	-2.20000004768372	17.9500007629395	-8.10000038146973	1133	112	68	11.1134691238403	312	250	278	268	132	7740	822	-1019	72
